bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000278e-02 2.500000000000000139e-02 5.235987755982989206e-04 0.000000000000000000e+00 2.223753068384136666e-01 0.000000000000000000e+00
1.000000000000000000e+00 5.000000000000000278e-02 1.000000000000000056e-01 7.500000000000001110e-02 3.665191429188092553e-03 0.000000000000000000e+00 1.556627147868891781e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000056e-01 1.500000000000000222e-01 1.250000000000000000e-01 9.948376736367682202e-03 0.000000000000000000e+00 4.225130829929859999e+00 0.000000000000000000e+00
3.000000000000000000e+00 1.500000000000000222e-01 2.000000000000000111e-01 1.750000000000000167e-01 1.937315469713705995e-02 0.000000000000000000e+00 8.227886353021267141e+00 0.000000000000000000e+00
4.000000000000000000e+00 2.000000000000000111e-01 2.500000000000000000e-01 2.250000000000000056e-01 3.193952531149622104e-02 0.000000000000000000e+00 1.356489371714329906e+01 0.000000000000000000e+00
5.000000000000000000e+00 2.500000000000000000e-01 3.000000000000000444e-01 2.750000000000000222e-01 4.764748857944525046e-02 0.000000000000000000e+00 2.023615292229563067e+01 0.000000000000000000e+00
6.000000000000000000e+00 3.000000000000000444e-01 3.500000000000000333e-01 3.250000000000000666e-01 6.649704450098394004e-02 0.000000000000000000e+00 2.824166396847846627e+01 0.000000000000000000e+00
7.000000000000000000e+00 3.500000000000000333e-01 4.000000000000000222e-01 3.750000000000000000e-01 8.848819307611252571e-02 0.000000000000000000e+00 3.758142685569186625e+01 0.000000000000000000e+00
8.000000000000000000e+00 4.000000000000000222e-01 4.500000000000000111e-01 4.250000000000000444e-01 1.136209343048308340e-01 0.000000000000000000e+00 4.825544158393586969e+01 0.000000000000000000e+00
9.000000000000000000e+00 4.500000000000000111e-01 5.000000000000000000e-01 4.749999999999999778e-01 1.418952681871389343e-01 0.000000000000000000e+00 6.026370815321000407e+01 0.000000000000000000e+00
1.000000000000000000e+01 5.000000000000000000e-01 5.500000000000000444e-01 5.250000000000000222e-01 1.733111947230371319e-01 0.000000000000000000e+00 7.360622656351473836e+01 0.000000000000000000e+00
1.100000000000000000e+01 5.500000000000000444e-01 6.000000000000000888e-01 5.750000000000000666e-01 2.078687139125248717e-01 0.000000000000000000e+00 8.828299681485044914e+01 0.000000000000000000e+00
1.200000000000000000e+01 6.000000000000000888e-01 6.500000000000000222e-01 6.250000000000000000e-01 2.455678257556017097e-01 0.000000000000000000e+00 1.042940189072155590e+02 0.000000000000000000e+00
1.300000000000000000e+01 6.500000000000000222e-01 7.000000000000000666e-01 6.750000000000000444e-01 2.864085302522697551e-01 0.000000000000000000e+00 1.216392928406130096e+02 0.000000000000000000e+00
1.400000000000000000e+01 7.000000000000000666e-01 7.500000000000000000e-01 7.250000000000000888e-01 3.303908274025262326e-01 0.000000000000000000e+00 1.403188186150386798e+02 0.000000000000000000e+00
1.500000000000000000e+01 7.500000000000000000e-01 8.000000000000000444e-01 7.750000000000000222e-01 3.775147172063739731e-01 0.000000000000000000e+00 1.603325962304965628e+02 0.000000000000000000e+00
1.600000000000000000e+01 8.000000000000000444e-01 8.500000000000000888e-01 8.250000000000000666e-01 4.277801996638102011e-01 0.000000000000000000e+00 1.816806256869837455e+02 0.000000000000000000e+00
1.700000000000000000e+01 8.500000000000000888e-01 9.000000000000000222e-01 8.750000000000000000e-01 4.811872747748364154e-01 0.000000000000000000e+00 2.043629069845024731e+02 0.000000000000000000e+00
1.800000000000000000e+01 9.000000000000000222e-01 9.500000000000000666e-01 9.250000000000000444e-01 5.377359425394534487e-01 0.000000000000000000e+00 2.283794401230505571e+02 0.000000000000000000e+00
1.900000000000000000e+01 9.500000000000000666e-01 1.000000000000000000e+00 9.750000000000000888e-01 5.974262029576580257e-01 0.000000000000000000e+00 2.537302251026301292e+02 0.000000000000000000e+00
2.000000000000000000e+01 1.000000000000000000e+00 1.050000000000000044e+00 1.024999999999999911e+00 6.602580560294553091e-01 0.000000000000000000e+00 2.804152619232397683e+02 0.000000000000000000e+00
2.100000000000000000e+01 1.050000000000000044e+00 1.100000000000000089e+00 1.075000000000000178e+00 7.262315017548416352e-01 0.000000000000000000e+00 3.084345505848791049e+02 0.000000000000000000e+00
2.200000000000000000e+01 1.100000000000000089e+00 1.150000000000000133e+00 1.125000000000000000e+00 7.953465401338160046e-01 0.000000000000000000e+00 3.377880910875517770e+02 0.000000000000000000e+00
2.300000000000000000e+01 1.150000000000000133e+00 1.200000000000000178e+00 1.175000000000000266e+00 8.676031711663829693e-01 0.000000000000000000e+00 3.684758834312502245e+02 0.000000000000000000e+00
2.400000000000000000e+01 1.200000000000000178e+00 1.250000000000000000e+00 1.225000000000000089e+00 9.430013948525325373e-01 0.000000000000000000e+00 4.004979276159823485e+02 0.000000000000000000e+00
2.500000000000000000e+01 1.250000000000000000e+00 1.300000000000000044e+00 1.274999999999999911e+00 1.021541211192281251e+00 0.000000000000000000e+00 4.338542236417464437e+02 0.000000000000000000e+00
2.600000000000000000e+01 1.300000000000000044e+00 1.350000000000000089e+00 1.325000000000000178e+00 1.103222620185617009e+00 0.000000000000000000e+00 4.685447715085375080e+02 0.000000000000000000e+00
2.700000000000000000e+01 1.350000000000000089e+00 1.400000000000000133e+00 1.375000000000000000e+00 1.188045621832541032e+00 0.000000000000000000e+00 5.045695712163608846e+02 0.000000000000000000e+00
2.800000000000000000e+01 1.400000000000000133e+00 1.450000000000000178e+00 1.425000000000000266e+00 1.276010216133056652e+00 0.000000000000000000e+00 5.419286227652144134e+02 0.000000000000000000e+00
2.900000000000000000e+01 1.450000000000000178e+00 1.500000000000000000e+00 1.475000000000000089e+00 1.367116403087152987e+00 0.000000000000000000e+00 5.806219261550953661e+02 0.000000000000000000e+00
