bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000278e-02 2.500000000000000139e-02 5.235987755982989206e-04 0.000000000000000000e+00 3.493578346926320410e-01 0.000000000000000000e+00
1.000000000000000000e+00 5.000000000000000278e-02 1.000000000000000056e-01 7.500000000000001110e-02 3.665191429188092553e-03 0.000000000000000000e+00 2.445504842847010529e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000056e-01 1.500000000000000222e-01 1.250000000000000000e-01 9.948376736367682202e-03 0.000000000000000000e+00 6.637798859159182996e+00 0.000000000000000000e+00
3.000000000000000000e+00 1.500000000000000222e-01 2.000000000000000111e-01 1.750000000000000167e-01 1.937315469713705995e-02 0.000000000000000000e+00 1.292623988361937393e+01 0.000000000000000000e+00
4.000000000000000000e+00 2.000000000000000111e-01 2.500000000000000000e-01 2.250000000000000056e-01 3.193952531149622104e-02 0.000000000000000000e+00 2.131082791623141404e+01 0.000000000000000000e+00
5.000000000000000000e+00 2.500000000000000000e-01 3.000000000000000444e-01 2.750000000000000222e-01 4.764748857944525046e-02 0.000000000000000000e+00 3.179156295701779911e+01 0.000000000000000000e+00
6.000000000000000000e+00 3.000000000000000444e-01 3.500000000000000333e-01 3.250000000000000666e-01 6.649704450098394004e-02 0.000000000000000000e+00 4.436844500593660712e+01 0.000000000000000000e+00
7.000000000000000000e+00 3.500000000000000333e-01 4.000000000000000222e-01 3.750000000000000000e-01 8.848819307611252571e-02 0.000000000000000000e+00 5.904147406302472945e+01 0.000000000000000000e+00
8.000000000000000000e+00 4.000000000000000222e-01 4.500000000000000111e-01 4.250000000000000444e-01 1.136209343048308340e-01 0.000000000000000000e+00 7.581065012825749250e+01 0.000000000000000000e+00
9.000000000000000000e+00 4.500000000000000111e-01 5.000000000000000000e-01 4.749999999999999778e-01 1.418952681871389343e-01 0.000000000000000000e+00 9.467597320164098562e+01 0.000000000000000000e+00
1.000000000000000000e+01 5.000000000000000000e-01 5.500000000000000444e-01 5.250000000000000222e-01 1.733111947230371319e-01 0.000000000000000000e+00 1.156374432832321730e+02 0.000000000000000000e+00
1.100000000000000000e+01 5.500000000000000444e-01 6.000000000000000888e-01 5.750000000000000666e-01 2.078687139125248717e-01 0.000000000000000000e+00 1.386950603728895430e+02 0.000000000000000000e+00
1.200000000000000000e+01 6.000000000000000888e-01 6.500000000000000222e-01 6.250000000000000000e-01 2.455678257556017097e-01 0.000000000000000000e+00 1.638488244707459103e+02 0.000000000000000000e+00
1.300000000000000000e+01 6.500000000000000222e-01 7.000000000000000666e-01 6.750000000000000444e-01 2.864085302522697551e-01 0.000000000000000000e+00 1.910987355768496343e+02 0.000000000000000000e+00
1.400000000000000000e+01 7.000000000000000666e-01 7.500000000000000000e-01 7.250000000000000888e-01 3.303908274025262326e-01 0.000000000000000000e+00 2.204447936910408998e+02 0.000000000000000000e+00
1.500000000000000000e+01 7.500000000000000000e-01 8.000000000000000444e-01 7.750000000000000222e-01 3.775147172063739731e-01 0.000000000000000000e+00 2.518869988132191509e+02 0.000000000000000000e+00
1.600000000000000000e+01 8.000000000000000444e-01 8.500000000000000888e-01 8.250000000000000666e-01 4.277801996638102011e-01 0.000000000000000000e+00 2.854253509437077128e+02 0.000000000000000000e+00
1.700000000000000000e+01 8.500000000000000888e-01 9.000000000000000222e-01 8.750000000000000000e-01 4.811872747748364154e-01 0.000000000000000000e+00 3.210598500824738721e+02 0.000000000000000000e+00
1.800000000000000000e+01 9.000000000000000222e-01 9.500000000000000666e-01 9.250000000000000444e-01 5.377359425394534487e-01 0.000000000000000000e+00 3.587904962292520850e+02 0.000000000000000000e+00
1.900000000000000000e+01 9.500000000000000666e-01 1.000000000000000000e+00 9.750000000000000888e-01 5.974262029576580257e-01 0.000000000000000000e+00 3.986172893840815732e+02 0.000000000000000000e+00
2.000000000000000000e+01 1.000000000000000000e+00 1.050000000000000044e+00 1.024999999999999911e+00 6.602580560294553091e-01 0.000000000000000000e+00 4.405402295474382299e+02 0.000000000000000000e+00
2.100000000000000000e+01 1.050000000000000044e+00 1.100000000000000089e+00 1.075000000000000178e+00 7.262315017548416352e-01 0.000000000000000000e+00 4.845593167185826928e+02 0.000000000000000000e+00
2.200000000000000000e+01 1.100000000000000089e+00 1.150000000000000133e+00 1.125000000000000000e+00 7.953465401338160046e-01 0.000000000000000000e+00 5.306745508978881389e+02 0.000000000000000000e+00
2.300000000000000000e+01 1.150000000000000133e+00 1.200000000000000178e+00 1.175000000000000266e+00 8.676031711663829693e-01 0.000000000000000000e+00 5.788859320857669672e+02 0.000000000000000000e+00
2.400000000000000000e+01 1.200000000000000178e+00 1.250000000000000000e+00 1.225000000000000089e+00 9.430013948525325373e-01 0.000000000000000000e+00 6.291934602809863009e+02 0.000000000000000000e+00
2.500000000000000000e+01 1.250000000000000000e+00 1.300000000000000044e+00 1.274999999999999911e+00 1.021541211192281251e+00 0.000000000000000000e+00 6.815971354850464650e+02 0.000000000000000000e+00
2.600000000000000000e+01 1.300000000000000044e+00 1.350000000000000089e+00 1.325000000000000178e+00 1.103222620185617009e+00 0.000000000000000000e+00 7.360969576968884667e+02 0.000000000000000000e+00
2.700000000000000000e+01 1.350000000000000089e+00 1.400000000000000133e+00 1.375000000000000000e+00 1.188045621832541032e+00 0.000000000000000000e+00 7.926929269172409249e+02 0.000000000000000000e+00
2.800000000000000000e+01 1.400000000000000133e+00 1.450000000000000178e+00 1.425000000000000266e+00 1.276010216133056652e+00 0.000000000000000000e+00 8.513850431452443672e+02 0.000000000000000000e+00
