0.00	0.000000
0.05	0.000000
0.10	0.000000
0.15	0.000000
0.20	0.000000
0.25	0.000000
0.30	0.000000
0.35	0.000000
0.40	0.000000
0.45	0.000000
0.50	0.000000
0.55	0.000000
0.60	0.000000
0.65	0.000000
0.70	0.000000
0.75	0.000000
0.80	0.000000
0.85	0.000000
0.90	0.000000
0.95	0.000000
1.00	0.000000
1.05	0.000000
1.10	0.000000
1.15	0.000000
1.20	0.000000
1.25	0.000000
1.30	0.000000
1.35	0.000000
1.40	0.000000
1.45	0.000000
1.50	0.000000
1.55	0.000000
1.60	0.000000
1.65	0.000000
1.70	0.000000
1.75	0.000000
1.80	0.000000
1.85	0.000000
1.90	0.000000
1.95	0.000000
2.00	0.000000
2.05	0.000000
2.10	0.000000
2.15	0.000000
2.20	0.000000
2.25	0.030000
2.30	0.100000
2.35	0.280000
2.40	0.750000
2.45	1.850000
2.50	3.350000
2.55	4.100000
2.60	3.000000
2.65	1.600000
2.70	0.800000
2.75	0.450000
2.80	0.320000
2.85	0.270000
2.90	0.240000
2.95	0.220000
3.00	0.210000
3.05	0.230000
3.10	0.270000
3.15	0.330000
3.20	0.400000
3.25	0.480000
3.30	0.580000
3.35	0.670000
3.40	0.750000
3.45	0.820000
3.50	0.880000
3.55	0.940000
3.60	1.000000
3.65	1.060000
3.70	1.120000
3.75	1.180000
3.80	1.240000
3.85	1.290000
3.90	1.340000
3.95	1.380000
4.00	1.420000
4.05	1.450000
4.10	1.470000
4.15	1.485000
4.20	1.494000
4.25	1.499000
4.30	1.500000
4.35	1.492000
4.40	1.472000
4.45	1.440000
4.50	1.398000
4.55	1.347000
4.60	1.290000
4.65	1.230000
4.70	1.170000
4.75	1.113000
4.80	1.060000
4.85	1.011000
4.90	0.968000
4.95	0.932000
5.00	0.913000
5.05	0.906000
5.10	0.899000
5.15	0.893000
5.20	0.888000
5.25	0.885000
5.30	0.883000
5.35	0.882100
5.40	0.881700
5.45	0.881650
5.50	0.881900
5.55	0.881603
5.60	0.882648
5.65	0.885058
5.70	0.889062
5.75	0.895122
5.80	0.903601
5.85	0.914154
5.90	0.926138
5.95	0.938941
6.00	0.952089
6.05	0.965145
6.10	0.977723
6.15	0.989466
6.20	1.000539
6.25	1.010474
6.30	1.018112
6.35	1.023261
6.40	1.025639
6.45	1.025159
6.50	1.021803
6.55	1.015747
6.60	1.055312
6.65	1.057521
6.70	1.058941
6.75	1.060080
6.80	1.058941
6.85	1.057539
6.90	1.055081
6.95	1.051543
7.00	1.046852
7.05	1.042044
7.10	1.036806
7.15	1.031430
7.20	1.025937
7.25	1.020335
7.30	1.014580
7.35	1.008617
7.40	1.002462
7.45	0.996133
7.50	0.989608
7.55	0.985133
7.60	0.980457
7.65	0.976613
7.70	0.973691
7.75	0.972337
7.80	0.970543
7.85	0.970238
7.90	0.970673
7.95	0.971754
8.00	0.973332
