bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
3.500000000000000000e+01 7.000000000000000666e-01 7.199999999999999734e-01 7.099999999999999645e-01 1.267025261143782666e-01 0.000000000000000000e+00 1.827341712153362323e+02 0.000000000000000000e+00
3.600000000000000000e+01 7.199999999999999734e-01 7.399999999999999911e-01 7.299999999999999822e-01 1.339407555882496381e-01 0.000000000000000000e+00 1.931733621654872195e+02 0.000000000000000000e+00
3.700000000000000000e+01 7.399999999999999911e-01 7.600000000000000089e-01 7.500000000000000000e-01 1.413800469919505032e-01 0.000000000000000000e+00 2.039025306420303707e+02 0.000000000000000000e+00
3.800000000000000000e+01 7.600000000000000089e-01 7.800000000000000266e-01 7.700000000000000178e-01 1.490204003254806120e-01 0.000000000000000000e+00 2.149216766449623037e+02 0.000000000000000000e+00
3.900000000000000000e+01 7.800000000000000266e-01 8.000000000000000444e-01 7.900000000000000355e-01 1.568618155888411303e-01 0.000000000000000000e+00 2.262308001742900956e+02 0.000000000000000000e+00
4.000000000000000000e+01 8.000000000000000444e-01 8.200000000000000622e-01 8.100000000000000533e-01 1.649042927820304483e-01 0.000000000000000000e+00 2.378299012300128652e+02 0.000000000000000000e+00
4.100000000000000000e+01 8.200000000000000622e-01 8.399999999999999689e-01 8.300000000000000711e-01 1.731478319050494818e-01 0.000000000000000000e+00 2.497189798121274578e+02 0.000000000000000000e+00
4.200000000000000000e+01 8.399999999999999689e-01 8.599999999999999867e-01 8.499999999999999778e-01 1.815924329578998409e-01 0.000000000000000000e+00 2.618980359206354933e+02 0.000000000000000000e+00
4.300000000000000000e+01 8.599999999999999867e-01 8.800000000000000044e-01 8.699999999999999956e-01 1.902380959405787497e-01 0.000000000000000000e+00 2.743670695555336465e+02 0.000000000000000000e+00
4.400000000000000000e+01 8.800000000000000044e-01 9.000000000000000222e-01 8.900000000000000133e-01 1.990848208530880958e-01 0.000000000000000000e+00 2.871260807168285965e+02 0.000000000000000000e+00
4.500000000000000000e+01 9.000000000000000222e-01 9.200000000000000400e-01 9.100000000000000311e-01 2.081326076954259918e-01 0.000000000000000000e+00 3.001750694045149999e+02 0.000000000000000000e+00
4.600000000000000000e+01 9.200000000000000400e-01 9.400000000000000577e-01 9.300000000000000488e-01 2.173814564675947414e-01 0.000000000000000000e+00 3.135140356185897872e+02 0.000000000000000000e+00
4.700000000000000000e+01 9.400000000000000577e-01 9.599999999999999645e-01 9.499999999999999556e-01 2.268313671695915967e-01 0.000000000000000000e+00 3.271429793590630197e+02 0.000000000000000000e+00
4.800000000000000000e+01 9.599999999999999645e-01 9.799999999999999822e-01 9.699999999999999734e-01 2.364823398014207212e-01 0.000000000000000000e+00 3.410619006259335606e+02 0.000000000000000000e+00
