1	0
1.05	0
1.1	0
1.15	0
1.2	0
1.25	0
1.3	0
1.35	0
1.4	0
1.45	0
1.5	0
1.55	0
1.6	0
1.65	0
1.7	0
1.75	0
1.8	0
1.85	0
1.9	0
1.95	0
2	0
2.05	0
2.1	0
2.15	0
2.2	0
2.25	0.03
2.3	0.2
2.35	0.85
2.4	2.1
2.45	3.55
2.5	4.18
2.55	4.3
2.6	3.85
2.65	2.75
2.7	1.75
2.75	1.15
2.8	0.92
2.85	0.84
2.9	0.88
2.95	0.95
3	1
3.05	1.02
3.1	1.03
3.15	1.03
3.2	1.02
3.25	1.01
3.3	1
3.35	0.99
3.4	0.98
3.45	0.98
3.5	0.99
3.55	1
3.6	1.01
3.65	1.03
3.7	1.05
3.75	1.07
3.8	1.1
3.85	1.13
3.9	1.16
3.95	1.19
4	1.22
4.05	1.25
4.1	1.28
4.15	1.3
4.2	1.32
4.25	1.33
4.3	1.34
4.35	1.35
4.4	1.34
4.45	1.33
4.5	1.31
4.55	1.28
4.6	1.24
4.65	1.2
4.7	1.15
4.75	1.11
4.8	1.07
4.85	1.03
4.9	0.99
4.95	0.95
5	0.91
5.05	0.87
5.1	0.84
5.15	0.81
5.2	0.79
5.25	0.77
5.3	0.76
5.35	0.76
5.4	0.77
5.45	0.78
5.5	0.79
5.55	0.81
5.6	0.83
5.65	0.85
5.7	0.88
5.75	0.9
5.8	0.92
5.85	0.94
5.9	0.96
5.95	0.98
6	1
6.05	1.02
6.1	1.04
6.15	1.06
6.2	1.08
6.25	1.09
6.3	1.1
6.35	1.11
6.4	1.11
6.45	1.12
6.5	1.12
6.55	1.12
6.6	1.11
6.65	1.1
6.7	1.09
6.75	1.08
6.8	1.07
6.85	1.06
6.9	1.05
6.95	1.04
7	1.03
