r(A),g(r)
2.344999999999999751e+00,1.290690242393237597e+00
2.355000000000000426e+00,1.298435515099903848e+00
2.365000000000000213e+00,1.284425198653450284e+00
2.375000000000000000e+00,1.262753471597791943e+00
2.384999999999999787e+00,1.257122221171332654e+00
2.395000000000000462e+00,1.257293150222642542e+00
2.405000000000000249e+00,1.249211130936659142e+00
2.415000000000000036e+00,1.233080763405480784e+00
2.424999999999999822e+00,1.215500000643828793e+00
2.435000000000000053e+00,1.214518900468770424e+00
2.445000000000000284e+00,1.194582269937460195e+00
2.455000000000000071e+00,1.179827849438641607e+00
2.464999999999999858e+00,1.177181571648125979e+00
2.475000000000000089e+00,1.152473724164053026e+00
2.485000000000000320e+00,1.138764252612439742e+00
2.495000000000000107e+00,1.131235021488538717e+00
2.504999999999999893e+00,1.124296857495313828e+00
2.515000000000000124e+00,1.104849348089947725e+00
2.525000000000000355e+00,1.077638734972563350e+00
2.535000000000000142e+00,1.062037144190828286e+00
2.544999999999999929e+00,1.058220808907359478e+00
2.555000000000000160e+00,1.040376616466934578e+00
2.565000000000000391e+00,1.014331455160015105e+00
2.575000000000000178e+00,1.010091509704665658e+00
2.584999999999999964e+00,9.828435089256539747e-01
2.594999999999999751e+00,9.784208195922778906e-01
2.605000000000000426e+00,9.504079004710884737e-01
2.615000000000000213e+00,9.484436697018084894e-01
2.625000000000000000e+00,9.250175566265544935e-01
2.634999999999999787e+00,9.035031327532327960e-01
2.645000000000000462e+00,9.051240362532674277e-01
2.655000000000000249e+00,8.838653688155458932e-01
2.665000000000000036e+00,8.515296637337788077e-01
2.674999999999999822e+00,8.493412000970367304e-01
2.685000000000000497e+00,8.284527157733024838e-01
2.695000000000000284e+00,8.186896502795310004e-01
2.705000000000000071e+00,8.134388098569930170e-01
2.714999999999999858e+00,8.037666966445485839e-01
2.725000000000000533e+00,7.833005683212301840e-01
2.735000000000000320e+00,7.741006568003846455e-01
2.745000000000000107e+00,7.687013246348048945e-01
2.754999999999999893e+00,7.477631737231507092e-01
2.764999999999999680e+00,7.516394724713303388e-01
2.775000000000000355e+00,7.336031231216630921e-01
2.785000000000000142e+00,7.387929690799299731e-01
2.794999999999999929e+00,7.131754435162898087e-01
2.804999999999999716e+00,7.216368360328045961e-01
2.815000000000000391e+00,7.132680994324295254e-01
2.825000000000000178e+00,7.055073056250039665e-01
2.834999999999999964e+00,7.088216904946467167e-01
2.844999999999999751e+00,6.922257920144522236e-01
2.855000000000000426e+00,6.936701769274753460e-01
2.865000000000000213e+00,6.997321017258223419e-01
2.875000000000000000e+00,6.856284373478250815e-01
2.884999999999999787e+00,7.000095624524594884e-01
2.895000000000000462e+00,7.041263915882126634e-01
2.905000000000000249e+00,6.906098398316253828e-01
2.915000000000000036e+00,6.937480541636817932e-01
2.924999999999999822e+00,6.832615116400990729e-01
2.935000000000000497e+00,6.897685937350382934e-01
2.945000000000000284e+00,6.930013557512899602e-01
2.955000000000000071e+00,6.997544486088009830e-01
2.964999999999999858e+00,6.967872420356723273e-01
2.975000000000000533e+00,6.961659122145343881e-01
2.985000000000000320e+00,7.071663565373436100e-01
2.995000000000000107e+00,7.103573348418227296e-01
3.004999999999999893e+00,7.029449495965466310e-01
3.014999999999999680e+00,7.015692491014553500e-01
3.025000000000000355e+00,7.024737156256035675e-01
3.035000000000000142e+00,7.080329330462540316e-01
3.044999999999999929e+00,7.240863140315243474e-01
3.054999999999999716e+00,7.153531918441600190e-01
3.065000000000000391e+00,7.239103878120588531e-01
3.075000000000000178e+00,7.273825207482230715e-01
3.084999999999999964e+00,7.258677900049514964e-01
3.094999999999999751e+00,7.383472175033751750e-01
3.105000000000000426e+00,7.449170236099892373e-01
3.115000000000000213e+00,7.562196480840078783e-01
3.125000000000000000e+00,7.496982087612094059e-01
3.134999999999999787e+00,7.552892688402483845e-01
3.145000000000000462e+00,7.593310503593184713e-01
3.155000000000000249e+00,7.814506892690291640e-01
3.165000000000000036e+00,7.748156801267465088e-01
3.174999999999999822e+00,7.889500222449693512e-01
3.185000000000000497e+00,7.895673888442760191e-01
3.195000000000000284e+00,8.053591770067235478e-01
3.205000000000000071e+00,8.089353800801446503e-01
3.214999999999999858e+00,8.152797825276557608e-01
3.225000000000000533e+00,8.233667531811711404e-01
3.235000000000000320e+00,8.179800287662343239e-01
3.245000000000000107e+00,8.366948168643117967e-01
3.254999999999999893e+00,8.371892522025259353e-01
3.265000000000000124e+00,8.515089401704016847e-01
3.275000000000000355e+00,8.496630169949751510e-01
3.285000000000000142e+00,8.549850629925352941e-01
3.294999999999999929e+00,8.633460300947906063e-01
3.304999999999999716e+00,8.737896165987460995e-01
3.315000000000000391e+00,8.838282832566397573e-01
