r(A), g(r)
2.535000000000000142e+00 1.372210685052506873e+00
2.544999999999999929e+00 1.335080734234250555e+00
2.555000000000000160e+00 1.280352994003999934e+00
2.565000000000000391e+00 1.279386578923703111e+00
2.575000000000000178e+00 1.204102171676713295e+00
2.584999999999999964e+00 1.188083728859896437e+00
2.594999999999999751e+00 1.144590767617333471e+00
2.605000000000000426e+00 1.120178400611781200e+00
2.615000000000000213e+00 1.112323960144528057e+00
2.625000000000000000e+00 1.058146529783089873e+00
2.634999999999999787e+00 1.039154691115811158e+00
2.645000000000000462e+00 1.006608792630286908e+00
2.655000000000000249e+00 9.832101280105680630e-01
2.665000000000000036e+00 9.550561198524962769e-01
2.674999999999999822e+00 9.447909675706669397e-01
2.685000000000000497e+00 9.048276633835644622e-01
2.695000000000000284e+00 8.693650157993970673e-01
2.705000000000000071e+00 8.587645007262629804e-01
2.714999999999999858e+00 8.283580935078715957e-01
2.725000000000000533e+00 8.126683838197166221e-01
2.735000000000000320e+00 7.958211515119397728e-01
2.745000000000000107e+00 7.688129159635394005e-01
2.754999999999999893e+00 7.483606724621255646e-01
2.764999999999999680e+00 7.337015463127872783e-01
2.775000000000000355e+00 7.346965511900396262e-01
2.785000000000000142e+00 7.330266342161558812e-01
2.794999999999999929e+00 7.103711498301310545e-01
2.804999999999999716e+00 7.005588495957785211e-01
2.815000000000000391e+00 6.838268916517530327e-01
2.825000000000000178e+00 6.824897833145293635e-01
2.834999999999999964e+00 6.841175045079211925e-01
2.844999999999999751e+00 6.667071780730318142e-01
2.855000000000000426e+00 6.602919170238483737e-01
2.865000000000000213e+00 6.438367687461005184e-01
2.875000000000000000e+00 6.447163785573312156e-01
2.884999999999999787e+00 6.376387331397991298e-01
2.895000000000000462e+00 6.260157928605327715e-01
2.905000000000000249e+00 6.434825288535035437e-01
2.915000000000000036e+00 6.342706531592958719e-01
2.924999999999999822e+00 6.134788802948085706e-01
2.935000000000000497e+00 6.232072752380122260e-01
2.945000000000000284e+00 6.260427862754727180e-01
2.955000000000000071e+00 6.253971640035125290e-01
2.964999999999999858e+00 6.320986790332303595e-01
2.975000000000000533e+00 6.209374664144334810e-01
2.985000000000000320e+00 6.168604132112661675e-01
2.995000000000000107e+00 6.137341229684142307e-01
3.004999999999999893e+00 6.292471447053210598e-01
3.014999999999999680e+00 6.172954618034758312e-01
3.025000000000000355e+00 6.264564341593729102e-01
3.035000000000000142e+00 6.235907716279255331e-01
3.044999999999999929e+00 6.296285556932013083e-01
3.054999999999999716e+00 6.271172277761624114e-01
3.065000000000000391e+00 6.279569368416146879e-01
3.075000000000000178e+00 6.194898429361748171e-01
3.084999999999999964e+00 6.292067989740689482e-01
3.094999999999999751e+00 6.398509120641414638e-01
3.105000000000000426e+00 6.401117519603845007e-01
3.115000000000000213e+00 6.475085251867782610e-01
3.125000000000000000e+00 6.416989215128473534e-01
3.134999999999999787e+00 6.574807928854616845e-01
3.145000000000000462e+00 6.543381843614108906e-01
3.155000000000000249e+00 6.646881641997171020e-01
3.165000000000000036e+00 6.566908053743504281e-01
3.174999999999999822e+00 6.776020598223733149e-01
3.185000000000000497e+00 6.894514912043728794e-01
3.195000000000000284e+00 6.968069814735436962e-01
3.205000000000000071e+00 6.904120975953761397e-01
3.214999999999999858e+00 7.079786851592134722e-01
3.225000000000000533e+00 7.102677935569006173e-01
3.235000000000000320e+00 7.105646182554576917e-01
3.245000000000000107e+00 7.290014894868127593e-01
3.254999999999999893e+00 7.345474052421891997e-01
3.265000000000000124e+00 7.411606926025302577e-01
3.275000000000000355e+00 7.505977787720928829e-01
3.285000000000000142e+00 7.685445581644124724e-01
3.294999999999999929e+00 7.697777192243596689e-01
3.304999999999999716e+00 7.849352022515742044e-01
3.315000000000000391e+00 7.862125641090625949e-01
3.325000000000000178e+00 8.088778279124152482e-01
3.334999999999999964e+00 8.044013141202268624e-01
3.344999999999999751e+00 8.273893852937952431e-01
3.355000000000000426e+00 8.425938629858819029e-01
3.365000000000000213e+00 8.333870229672329932e-01
3.375000000000000000e+00 8.712255467852754176e-01
3.384999999999999787e+00 8.674513688757635732e-01
3.395000000000000462e+00 8.712626526424944728e-01
3.405000000000000249e+00 8.761879936547547487e-01
3.415000000000000036e+00 8.997689566714668352e-01
3.424999999999999822e+00 9.042670081998133158e-01
3.435000000000000497e+00 9.187313529051827077e-01
3.445000000000000284e+00 9.365673094225902551e-01
3.455000000000000071e+00 9.489946682541623435e-01
3.464999999999999858e+00 9.514589895468124059e-01
3.475000000000000533e+00 9.745582028816817122e-01
3.485000000000000320e+00 9.878530957628448572e-01
3.495000000000000107e+00 9.965795660043266224e-01
3.504999999999999893e+00 9.937257193948303424e-01
3.515000000000000124e+00 1.017211993587674446e+00
3.525000000000000355e+00 1.021031544664197099e+00
3.535000000000000142e+00 1.034320297094174279e+00
3.544999999999999929e+00 1.047280640173780419e+00
3.554999999999999716e+00 1.058733032184734801e+00
3.565000000000000391e+00 1.062117174819798615e+00
3.575000000000000178e+00 1.077531905615978891e+00
3.584999999999999964e+00 1.083440713647821907e+00
3.594999999999999751e+00 1.089109252407683748e+00
3.605000000000000426e+00 1.108677190800242185e+00
3.615000000000000213e+00 1.123846952558793078e+00
3.625000000000000000e+00 1.135363471373801003e+00
3.635000000000000231e+00 1.136282991575128243e+00
3.645000000000000018e+00 1.136304729904571209e+00
3.655000000000000249e+00 1.145018716119989177e+00
3.665000000000000036e+00 1.165068876189131908e+00
3.674999999999999822e+00 1.171180819538754303e+00
3.685000000000000053e+00 1.172950270615773505e+00
3.695000000000000284e+00 1.194667656521974264e+00
3.705000000000000071e+00 1.192539766790128963e+00
3.714999999999999858e+00 1.210532177011129251e+00
3.725000000000000089e+00 1.195803273173235981e+00
3.735000000000000320e+00 1.211747216607012234e+00
3.745000000000000107e+00 1.210038959193304731e+00
3.754999999999999893e+00 1.211275306349893333e+00
3.765000000000000124e+00 1.215409466732258137e+00
3.775000000000000355e+00 1.216522622284618382e+00
3.785000000000000142e+00 1.238172021050150784e+00
3.794999999999999929e+00 1.235056917273017474e+00
3.805000000000000160e+00 1.232756348553583070e+00
3.815000000000000391e+00 1.221299876139676943e+00
3.825000000000000178e+00 1.233478229852165375e+00
3.834999999999999964e+00 1.218078704319544459e+00
3.845000000000000195e+00 1.218378408151735925e+00
3.855000000000000426e+00 1.237293097131969555e+00
3.865000000000000213e+00 1.210402067133632853e+00
3.875000000000000000e+00 1.218527294281680051e+00
3.885000000000000231e+00 1.212352544034861035e+00
3.895000000000000462e+00 1.203803192081153384e+00
3.905000000000000249e+00 1.222097405605264697e+00
3.915000000000000036e+00 1.203965073655084206e+00
3.924999999999999822e+00 1.187326422019846284e+00
3.935000000000000053e+00 1.189780247516631473e+00
3.945000000000000284e+00 1.185373684298790753e+00
3.955000000000000071e+00 1.167076756002551008e+00
3.964999999999999858e+00 1.170502444488192850e+00
3.975000000000000089e+00 1.174180367721828988e+00
3.985000000000000320e+00 1.163795881514175345e+00
3.995000000000000107e+00 1.156825840733241462e+00
4.004999999999999893e+00 1.145668854186194352e+00
4.014999999999999680e+00 1.151069871494917463e+00
4.025000000000000355e+00 1.135907577915666433e+00
4.035000000000000142e+00 1.128403678563508539e+00
4.044999999999999929e+00 1.121500609468859988e+00
4.055000000000000604e+00 1.133686604714076118e+00
4.065000000000000391e+00 1.118686227175258896e+00
4.075000000000000178e+00 1.115169268248454859e+00
4.084999999999999964e+00 1.115261444639767952e+00
4.094999999999999751e+00 1.108360434919083648e+00
4.105000000000000426e+00 1.088269349317676271e+00
4.115000000000000213e+00 1.095402748325146502e+00
4.125000000000000000e+00 1.083460223994373139e+00
4.135000000000000675e+00 1.086264569647898304e+00
4.145000000000000462e+00 1.092078666066599535e+00
4.155000000000000249e+00 1.087025356008372023e+00
4.165000000000000036e+00 1.089107305824903227e+00
4.174999999999999822e+00 1.089205089534025062e+00
4.184999999999999609e+00 1.088007483102054307e+00
4.195000000000000284e+00 1.087852834137752911e+00
4.205000000000000071e+00 1.084801317192908510e+00
4.214999999999999858e+00 1.076940925015827277e+00
4.225000000000000533e+00 1.089992687493374524e+00
4.235000000000000320e+00 1.077339660707192559e+00
4.245000000000000107e+00 1.082917770278311931e+00
4.254999999999999893e+00 1.077457842623712025e+00
4.264999999999999680e+00 1.080602978917021950e+00
4.275000000000000355e+00 1.078122347335715769e+00
4.285000000000000142e+00 1.083990896066730603e+00
4.294999999999999929e+00 1.078358930759574452e+00
4.305000000000000604e+00 1.088701181394727380e+00
4.315000000000000391e+00 1.070980310930973678e+00
4.325000000000000178e+00 1.083966256620652935e+00
4.334999999999999964e+00 1.068941665500118265e+00
4.344999999999999751e+00 1.074550856483123873e+00
4.355000000000000426e+00 1.067397462715969469e+00
4.365000000000000213e+00 1.074011329042942942e+00
4.375000000000000000e+00 1.076465617521551676e+00
4.385000000000000675e+00 1.074675428076741213e+00
4.395000000000000462e+00 1.082154605413876869e+00
4.405000000000000249e+00 1.077036488167426365e+00
4.415000000000000036e+00 1.073559299010617751e+00
4.424999999999999822e+00 1.081083261860715128e+00
4.434999999999999609e+00 1.064521190658868077e+00
4.445000000000000284e+00 1.082568714288566492e+00
4.455000000000000071e+00 1.073257387965571352e+00
4.464999999999999858e+00 1.078591782639706897e+00
4.475000000000000533e+00 1.075713338498019755e+00
4.485000000000000320e+00 1.076063255104913186e+00
4.495000000000000107e+00 1.064545684375359791e+00
4.504999999999999893e+00 1.066127760434611105e+00
4.514999999999999680e+00 1.085609208459425323e+00
4.525000000000000355e+00 1.067989333208136049e+00
4.535000000000000142e+00 1.066857604925037784e+00
4.544999999999999929e+00 1.078472688990674611e+00
4.555000000000000604e+00 1.076300486660487277e+00
4.565000000000000391e+00 1.072732974066104683e+00
4.575000000000000178e+00 1.064017570926114598e+00
4.584999999999999964e+00 1.072101289828293780e+00
4.594999999999999751e+00 1.063057307031227028e+00
4.605000000000000426e+00 1.063450730157242896e+00
4.615000000000000213e+00 1.064182180003623746e+00
4.625000000000000000e+00 1.059044535311560731e+00
4.635000000000000675e+00 1.059072099194111605e+00
4.645000000000000462e+00 1.067162707601306382e+00
4.655000000000000249e+00 1.059662397247245647e+00
4.665000000000000036e+00 1.053342087728041498e+00
4.674999999999999822e+00 1.042520813567334503e+00
4.684999999999999609e+00 1.047715897494648551e+00
4.695000000000000284e+00 1.035015932130517680e+00
4.705000000000000071e+00 1.029545192301700274e+00
4.714999999999999858e+00 1.038343350746021354e+00
4.725000000000000533e+00 1.027827078607928213e+00
4.735000000000000320e+00 1.031593207681091640e+00
4.745000000000000107e+00 1.025466662330442480e+00
4.754999999999999893e+00 1.024678906755124519e+00
4.764999999999999680e+00 1.021011874700615607e+00
4.775000000000000355e+00 1.014531570199822763e+00
4.785000000000000142e+00 1.018289460767669130e+00
4.794999999999999929e+00 1.008098324224275144e+00
4.805000000000000604e+00 1.003847711087475947e+00
4.815000000000000391e+00 1.005669373053717619e+00
4.825000000000000178e+00 1.005275336019079369e+00
4.834999999999999964e+00 9.919529995095808239e-01
4.844999999999999751e+00 1.000007494590482215e+00
4.855000000000000426e+00 9.925437345281288293e-01
4.865000000000000213e+00 9.881226091395785005e-01
4.875000000000000000e+00 9.791199276371241877e-01
4.885000000000000675e+00 9.921946254663540632e-01
4.895000000000000462e+00 9.765874398738634277e-01
4.905000000000000249e+00 9.757203934833373893e-01
4.915000000000000036e+00 9.742608256579143866e-01
4.924999999999999822e+00 9.797899292241821767e-01
4.934999999999999609e+00 9.688945150175658494e-01
4.945000000000000284e+00 9.618355400535737454e-01
4.955000000000000071e+00 9.676290311118947995e-01
4.964999999999999858e+00 9.600365501250596179e-01
4.975000000000000533e+00 9.429854570228058952e-01
4.985000000000000320e+00 9.591389650351758167e-01
4.995000000000000107e+00 9.511299531508217164e-01
