r(A),g(r)
1.265000000000000124e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.285000000000000142e+00,0.000000000000000000e+00
1.294999999999999929e+00,0.000000000000000000e+00
1.305000000000000160e+00,0.000000000000000000e+00
1.314999999999999947e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.334999999999999964e+00,0.000000000000000000e+00
1.344999999999999973e+00,0.000000000000000000e+00
1.354999999999999982e+00,0.000000000000000000e+00
1.364999999999999991e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.385000000000000009e+00,0.000000000000000000e+00
1.395000000000000018e+00,0.000000000000000000e+00
1.405000000000000027e+00,0.000000000000000000e+00
1.415000000000000036e+00,0.000000000000000000e+00
1.425000000000000044e+00,0.000000000000000000e+00
1.435000000000000053e+00,0.000000000000000000e+00
1.445000000000000062e+00,0.000000000000000000e+00
1.455000000000000071e+00,5.463381334469144882e-04
1.464999999999999858e+00,6.736313101844252933e-04
1.475000000000000089e+00,1.461962235744325780e-03
1.484999999999999876e+00,3.146921026998481582e-03
1.495000000000000107e+00,6.598045417275327437e-03
1.504999999999999893e+00,1.072343185005443338e-02
1.515000000000000124e+00,2.015682971317328542e-02
1.524999999999999911e+00,3.580802023591624084e-02
1.535000000000000142e+00,6.111391319868710731e-02
1.544999999999999929e+00,1.051453975850351746e-01
1.555000000000000160e+00,1.553373436545971986e-01
1.564999999999999947e+00,2.391873830070614659e-01
1.575000000000000178e+00,3.334911024634778509e-01
1.584999999999999964e+00,4.453153920379342434e-01
1.594999999999999973e+00,5.937577665197288912e-01
1.604999999999999982e+00,7.546412619088647133e-01
1.614999999999999991e+00,9.232581989098583852e-01
1.625000000000000000e+00,1.098958852841194656e+00
1.635000000000000009e+00,1.245535006625857255e+00
1.645000000000000018e+00,1.395208487102174377e+00
1.655000000000000027e+00,1.525877130778872104e+00
1.665000000000000036e+00,1.625570617850162991e+00
1.675000000000000044e+00,1.695058064249372887e+00
1.685000000000000053e+00,1.761767921961882033e+00
1.695000000000000062e+00,1.798408529380736365e+00
1.705000000000000071e+00,1.805026500793023736e+00
1.714999999999999858e+00,1.786299137100311407e+00
1.725000000000000089e+00,1.752821508237149439e+00
1.734999999999999876e+00,1.726718774310983751e+00
1.745000000000000107e+00,1.648680112364217187e+00
1.754999999999999893e+00,1.589295205619559281e+00
1.765000000000000124e+00,1.522514282324096024e+00
1.774999999999999911e+00,1.453920982061298606e+00
1.785000000000000142e+00,1.428873342450105222e+00
1.794999999999999929e+00,1.348741400014638936e+00
1.805000000000000160e+00,1.281208970600372421e+00
1.814999999999999947e+00,1.223242013089640867e+00
1.825000000000000178e+00,1.151879993168797300e+00
1.834999999999999964e+00,1.105182296786006546e+00
1.845000000000000195e+00,1.053140709552346843e+00
1.854999999999999982e+00,1.017951885923448874e+00
1.865000000000000213e+00,9.843696581660713596e-01
1.875000000000000000e+00,9.465914029104262051e-01
1.885000000000000231e+00,9.010940058055081359e-01
1.895000000000000018e+00,8.535224456652915626e-01
1.905000000000000027e+00,8.317569672556803795e-01
