bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
1.900000000000000000e+01 3.800000000000000044e-01 4.000000000000000222e-01 3.900000000000000133e-01 3.823527698929021779e-02 0.000000000000000000e+00 1.285303897944621809e+01 0.000000000000000000e+00
2.000000000000000000e+01 4.000000000000000222e-01 4.199999999999999845e-01 4.100000000000000311e-01 4.225651558588498780e-02 0.000000000000000000e+00 1.420480469157022796e+01 0.000000000000000000e+00
2.100000000000000000e+01 4.199999999999999845e-01 4.400000000000000022e-01 4.299999999999999933e-01 4.647881611230982729e-02 0.000000000000000000e+00 1.562415868930063034e+01 0.000000000000000000e+00
2.200000000000000000e+01 4.400000000000000022e-01 4.600000000000000200e-01 4.500000000000000111e-01 5.090217856856425749e-02 0.000000000000000000e+00 1.711110097263689767e+01 0.000000000000000000e+00
2.300000000000000000e+01 4.600000000000000200e-01 4.799999999999999822e-01 4.699999999999999734e-01 5.552660295464829227e-02 0.000000000000000000e+00 1.866563154157965698e+01 0.000000000000000000e+00
2.400000000000000000e+01 4.799999999999999822e-01 5.000000000000000000e-01 4.899999999999999911e-01 6.035208927056238959e-02 0.000000000000000000e+00 2.028775039612848019e+01 0.000000000000000000e+00
2.500000000000000000e+01 5.000000000000000000e-01 5.200000000000000178e-01 5.100000000000000089e-01 6.537863751630602904e-02 0.000000000000000000e+00 2.197745753628363019e+01 0.000000000000000000e+00
2.600000000000000000e+01 5.200000000000000178e-01 5.400000000000000355e-01 5.300000000000000266e-01 7.060624769187943961e-02 0.000000000000000000e+00 2.373475296204495422e+01 0.000000000000000000e+00
2.700000000000000000e+01 5.400000000000000355e-01 5.600000000000000533e-01 5.500000000000000444e-01 7.603491979728267680e-02 0.000000000000000000e+00 2.555963667341235634e+01 0.000000000000000000e+00
2.800000000000000000e+01 5.600000000000000533e-01 5.799999999999999600e-01 5.700000000000000622e-01 8.166465383251506061e-02 0.000000000000000000e+00 2.745210867038575131e+01 0.000000000000000000e+00
2.900000000000000000e+01 5.799999999999999600e-01 5.999999999999999778e-01 5.899999999999999689e-01 8.749544979757820085e-02 0.000000000000000000e+00 2.941216895296599176e+01 0.000000000000000000e+00
3.000000000000000000e+01 5.999999999999999778e-01 6.199999999999999956e-01 6.099999999999999867e-01 9.352730769247058484e-02 0.000000000000000000e+00 3.143981752115207584e+01 0.000000000000000000e+00
3.100000000000000000e+01 6.199999999999999956e-01 6.400000000000000133e-01 6.300000000000000044e-01 9.976022751719292037e-02 0.000000000000000000e+00 3.353505437494441566e+01 0.000000000000000000e+00
