bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-02 1.000000000000000021e-02 3.351032163829113108e-05 0.000000000000000000e+00 2.241811895783849679e-03 0.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000042e-02 4.000000000000000083e-02 2.999999999999999889e-02 2.345722514680378837e-04 0.000000000000000000e+00 1.569268327048695122e-02 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000083e-02 5.999999999999999778e-02 5.000000000000000278e-02 6.366961111275311856e-04 0.000000000000000000e+00 4.259442601989318899e-02 0.000000000000000000e+00
3.000000000000000000e+00 5.999999999999999778e-02 8.000000000000000167e-02 7.000000000000000666e-02 1.239881900616772318e-03 0.000000000000000000e+00 8.294704014400226810e-02 0.000000000000000000e+00
4.000000000000000000e+00 8.000000000000000167e-02 1.000000000000000056e-01 8.999999999999999667e-02 2.044129619935759409e-03 0.000000000000000000e+00 1.367505256428150628e-01 0.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000056e-01 1.199999999999999956e-01 1.100000000000000006e-01 3.049439269084490076e-03 0.000000000000000000e+00 2.040048825163302548e-01 0.000000000000000000e+00
6.000000000000000000e+00 1.199999999999999956e-01 1.400000000000000133e-01 1.300000000000000044e-01 4.255810848062977110e-03 0.000000000000000000e+00 2.847101107645492735e-01 0.000000000000000000e+00
7.000000000000000000e+00 1.400000000000000133e-01 1.600000000000000033e-01 1.500000000000000222e-01 5.663244356871199696e-03 0.000000000000000000e+00 3.788662103874710363e-01 0.000000000000000000e+00
8.000000000000000000e+00 1.600000000000000033e-01 1.799999999999999933e-01 1.699999999999999845e-01 7.271739795509169109e-03 0.000000000000000000e+00 4.864731813850947661e-01 0.000000000000000000e+00
9.000000000000000000e+00 1.799999999999999933e-01 2.000000000000000111e-01 1.900000000000000022e-01 9.081297163976905298e-03 0.000000000000000000e+00 6.075310237574247374e-01 0.000000000000000000e+00
1.000000000000000000e+01 2.000000000000000111e-01 2.200000000000000011e-01 2.100000000000000200e-01 1.109191646227435275e-02 0.000000000000000000e+00 7.420397375044532895e-01 0.000000000000000000e+00
1.100000000000000000e+01 2.200000000000000011e-01 2.399999999999999911e-01 2.299999999999999822e-01 1.330359769040156959e-02 0.000000000000000000e+00 8.899993226261869728e-01 0.000000000000000000e+00
1.200000000000000000e+01 2.399999999999999911e-01 2.600000000000000089e-01 2.500000000000000000e-01 1.571634084835855233e-02 0.000000000000000000e+00 1.051409779122628008e+00 0.000000000000000000e+00
1.300000000000000000e+01 2.600000000000000089e-01 2.800000000000000266e-01 2.700000000000000178e-01 1.833014593614526455e-02 0.000000000000000000e+00 1.226271106993767068e+00 0.000000000000000000e+00
1.400000000000000000e+01 2.800000000000000266e-01 2.999999999999999889e-01 2.900000000000000355e-01 2.114501295376165768e-02 0.000000000000000000e+00 1.414583306239610039e+00 0.000000000000000000e+00
1.500000000000000000e+01 2.999999999999999889e-01 3.200000000000000067e-01 3.099999999999999978e-01 2.416094190120793989e-02 0.000000000000000000e+00 1.616346376860163137e+00 0.000000000000000000e+00
1.600000000000000000e+01 3.200000000000000067e-01 3.400000000000000244e-01 3.300000000000000155e-01 2.737793277848384749e-02 0.000000000000000000e+00 1.831560318855403935e+00 0.000000000000000000e+00
