bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-02 1.000000000000000021e-02 3.351032163829113108e-05 0.000000000000000000e+00 1.132128429147543323e-02 0.000000000000000000e+00
1.000000000000000000e+00 2.000000000000000042e-02 4.000000000000000083e-02 2.999999999999999889e-02 2.345722514680378837e-04 0.000000000000000000e+00 7.924899004032825989e-02 0.000000000000000000e+00
2.000000000000000000e+00 4.000000000000000083e-02 5.999999999999999778e-02 5.000000000000000278e-02 6.366961111275311856e-04 0.000000000000000000e+00 2.151044015380332020e-01 0.000000000000000000e+00
3.000000000000000000e+00 5.999999999999999778e-02 8.000000000000000167e-02 7.000000000000000666e-02 1.239881900616772318e-03 0.000000000000000000e+00 4.188875187845902404e-01 0.000000000000000000e+00
4.000000000000000000e+00 8.000000000000000167e-02 1.000000000000000056e-01 8.999999999999999667e-02 2.044129619935759409e-03 0.000000000000000000e+00 6.905983417800040103e-01 0.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000056e-01 1.199999999999999956e-01 1.100000000000000006e-01 3.049439269084490076e-03 0.000000000000000000e+00 1.030236870524262160e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.199999999999999956e-01 1.400000000000000133e-01 1.300000000000000044e-01 4.255810848062977110e-03 0.000000000000000000e+00 1.437803105017379846e+00 0.000000000000000000e+00
7.000000000000000000e+00 1.400000000000000133e-01 1.600000000000000033e-01 1.500000000000000222e-01 5.663244356871199696e-03 0.000000000000000000e+00 1.913297045259352958e+00 0.000000000000000000e+00
8.000000000000000000e+00 1.600000000000000033e-01 1.799999999999999933e-01 1.699999999999999845e-01 7.271739795509169109e-03 0.000000000000000000e+00 2.456718691250161068e+00 0.000000000000000000e+00
9.000000000000000000e+00 1.799999999999999933e-01 2.000000000000000111e-01 1.900000000000000022e-01 9.081297163976905298e-03 0.000000000000000000e+00 3.068068042989845257e+00 0.000000000000000000e+00
1.000000000000000000e+01 2.000000000000000111e-01 2.200000000000000011e-01 2.100000000000000200e-01 1.109191646227435275e-02 0.000000000000000000e+00 3.747345100478367108e+00 0.000000000000000000e+00
1.100000000000000000e+01 2.200000000000000011e-01 2.399999999999999911e-01 2.299999999999999822e-01 1.330359769040156959e-02 0.000000000000000000e+00 4.494549863715715077e+00 0.000000000000000000e+00
1.200000000000000000e+01 2.399999999999999911e-01 2.600000000000000089e-01 2.500000000000000000e-01 1.571634084835855233e-02 0.000000000000000000e+00 5.309682332702011287e+00 0.000000000000000000e+00
1.300000000000000000e+01 2.600000000000000089e-01 2.800000000000000266e-01 2.700000000000000178e-01 1.833014593614526455e-02 0.000000000000000000e+00 6.192742507437059452e+00 0.000000000000000000e+00
1.400000000000000000e+01 2.800000000000000266e-01 2.999999999999999889e-01 2.900000000000000355e-01 2.114501295376165768e-02 0.000000000000000000e+00 7.143730387920971481e+00 0.000000000000000000e+00
1.500000000000000000e+01 2.999999999999999889e-01 3.200000000000000067e-01 3.099999999999999978e-01 2.416094190120793989e-02 0.000000000000000000e+00 8.162645974153820205e+00 0.000000000000000000e+00
1.600000000000000000e+01 3.200000000000000067e-01 3.400000000000000244e-01 3.300000000000000155e-01 2.737793277848384749e-02 0.000000000000000000e+00 9.249489266135411114e+00 0.000000000000000000e+00
1.700000000000000000e+01 3.400000000000000244e-01 3.599999999999999867e-01 3.499999999999999778e-01 3.079598558558950191e-02 0.000000000000000000e+00 1.040426026386590941e+01 0.000000000000000000e+00
1.800000000000000000e+01 3.599999999999999867e-01 3.800000000000000044e-01 3.699999999999999956e-01 3.441510032252501766e-02 0.000000000000000000e+00 1.162695896734530621e+01 0.000000000000000000e+00
1.900000000000000000e+01 3.800000000000000044e-01 4.000000000000000222e-01 3.900000000000000133e-01 3.823527698929021779e-02 0.000000000000000000e+00 1.291758537657354999e+01 0.000000000000000000e+00
2.000000000000000000e+01 4.000000000000000222e-01 4.199999999999999845e-01 4.100000000000000311e-01 4.225651558588498780e-02 0.000000000000000000e+00 1.427613949155044004e+01 0.000000000000000000e+00
2.100000000000000000e+01 4.199999999999999845e-01 4.400000000000000022e-01 4.299999999999999933e-01 4.647881611230982729e-02 0.000000000000000000e+00 1.570262131227641511e+01 0.000000000000000000e+00
2.200000000000000000e+01 4.400000000000000022e-01 4.600000000000000200e-01 4.500000000000000111e-01 5.090217856856425749e-02 0.000000000000000000e+00 1.719703083875126026e+01 0.000000000000000000e+00
2.300000000000000000e+01 4.600000000000000200e-01 4.799999999999999822e-01 4.699999999999999734e-01 5.552660295464829227e-02 0.000000000000000000e+00 1.875936807097489023e+01 0.000000000000000000e+00
2.400000000000000000e+01 4.799999999999999822e-01 5.000000000000000000e-01 4.899999999999999911e-01 6.035208927056238959e-02 0.000000000000000000e+00 2.038963300894725350e+01 0.000000000000000000e+00
2.500000000000000000e+01 5.000000000000000000e-01 5.200000000000000178e-01 5.100000000000000089e-01 6.537863751630602904e-02 0.000000000000000000e+00 2.208782565266855258e+01 0.000000000000000000e+00
2.600000000000000000e+01 5.200000000000000178e-01 5.400000000000000355e-01 5.300000000000000266e-01 7.060624769187943961e-02 0.000000000000000000e+00 2.385394600213870930e+01 0.000000000000000000e+00
2.700000000000000000e+01 5.400000000000000355e-01 5.600000000000000533e-01 5.500000000000000444e-01 7.603491979728267680e-02 0.000000000000000000e+00 2.568799405735780894e+01 0.000000000000000000e+00
2.800000000000000000e+01 5.600000000000000533e-01 5.799999999999999600e-01 5.700000000000000622e-01 8.166465383251506061e-02 0.000000000000000000e+00 2.758996981832535411e+01 0.000000000000000000e+00
2.900000000000000000e+01 5.799999999999999600e-01 5.999999999999999778e-01 5.899999999999999689e-01 8.749544979757820085e-02 0.000000000000000000e+00 2.955987328504242839e+01 0.000000000000000000e+00
3.000000000000000000e+01 5.999999999999999778e-01 6.199999999999999956e-01 6.099999999999999867e-01 9.352730769247058484e-02 0.000000000000000000e+00 3.159770445750790913e+01 0.000000000000000000e+00
3.100000000000000000e+01 6.199999999999999956e-01 6.400000000000000133e-01 6.300000000000000044e-01 9.976022751719292037e-02 0.000000000000000000e+00 3.370346333572256725e+01 0.000000000000000000e+00
3.200000000000000000e+01 6.400000000000000133e-01 6.600000000000000311e-01 6.500000000000000222e-01 1.061942092717445135e-01 0.000000000000000000e+00 3.587714991968590539e+01 0.000000000000000000e+00
3.300000000000000000e+01 6.600000000000000311e-01 6.800000000000000488e-01 6.700000000000000400e-01 1.128292529561262802e-01 0.000000000000000000e+00 3.811876420939789512e+01 0.000000000000000000e+00
