1	0
1.05	0
1.1	0
1.15	0
1.2	0
1.25	0
1.3	0
1.35	0
1.4	0
1.45	0
1.5	0
1.55	0
1.6	0
1.65	0
1.7	0
1.75	0
1.8	0
1.85	0
1.9	0
1.95	0
2	0
2.05	0
2.1	0
2.15	0
2.2	0.02
2.25	0.1
2.3	0.4
2.35	1.1
2.4	2.2
2.45	3.2
2.5	3.75
2.55	3.9
2.6	3.7
2.65	3.2
2.7	2.4
2.75	1.6
2.8	0.95
2.85	0.55
2.9	0.3
2.95	0.18
3	0.1
3.05	0.06
3.1	0.04
3.15	0.03
3.2	0.03
3.25	0.04
3.3	0.06
3.35	0.09
3.4	0.13
3.45	0.18
3.5	0.24
3.55	0.31
3.6	0.39
3.65	0.48
3.7	0.57
3.75	0.67
3.8	0.77
3.85	0.86
3.9	0.94
3.95	1.01
4	1.08
4.05	1.14
4.1	1.19
4.15	1.23
4.2	1.26
4.25	1.29
4.3	1.31
4.35	1.33
4.4	1.34
4.45	1.35
4.5	1.35
4.55	1.34
4.6	1.33
4.65	1.31
4.7	1.29
4.75	1.27
4.8	1.25
4.85	1.23
4.9	1.2
4.95	1.18
5	1.15
5.05	1.13
5.1	1.11
5.15	1.09
5.2	1.07
5.25	1.05
5.3	1.03
5.35	1.01
5.4	0.99
5.45	0.97
5.5	0.95
5.55	0.93
5.6	0.91
5.65	0.89
5.7	0.87
5.75	0.86
5.8	0.85
5.85	0.84
5.9	0.84
5.95	0.84
6	0.84
6.05	0.84
6.1	0.85
6.15	0.86
6.2	0.87
6.25	0.88
6.3	0.89
6.35	0.9
6.4	0.91
6.45	0.92
6.5	0.93
6.55	0.94
6.6	0.95
6.65	0.96
6.7	0.97
6.75	0.98
6.8	0.99
6.85	1
6.9	1.01
6.95	1.02
7	1.03
