bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
1.300000000000000000e+01 2.600000000000000089e-01 2.800000000000000266e-01 2.700000000000000178e-01 1.833014593614526455e-02 0.000000000000000000e+00 6.832521881414221454e+00 0.000000000000000000e+00
1.400000000000000000e+01 2.800000000000000266e-01 2.999999999999999889e-01 2.900000000000000355e-01 2.114501295376165768e-02 0.000000000000000000e+00 7.881757417134076960e+00 0.000000000000000000e+00
1.500000000000000000e+01 2.999999999999999889e-01 3.200000000000000067e-01 3.099999999999999978e-01 2.416094190120793989e-02 0.000000000000000000e+00 9.005938348262596094e+00 0.000000000000000000e+00
1.600000000000000000e+01 3.200000000000000067e-01 3.400000000000000244e-01 3.300000000000000155e-01 2.737793277848384749e-02 0.000000000000000000e+00 1.020506467479962076e+01 0.000000000000000000e+00
1.700000000000000000e+01 3.400000000000000244e-01 3.599999999999999867e-01 3.499999999999999778e-01 3.079598558558950191e-02 0.000000000000000000e+00 1.147913639674517761e+01 0.000000000000000000e+00
1.800000000000000000e+01 3.599999999999999867e-01 3.800000000000000044e-01 3.699999999999999956e-01 3.441510032252501766e-02 0.000000000000000000e+00 1.282815351409936966e+01 0.000000000000000000e+00
1.900000000000000000e+01 3.800000000000000044e-01 4.000000000000000222e-01 3.900000000000000133e-01 3.823527698929021779e-02 0.000000000000000000e+00 1.425211602686215251e+01 0.000000000000000000e+00
2.000000000000000000e+01 4.000000000000000222e-01 4.199999999999999845e-01 4.100000000000000311e-01 4.225651558588498780e-02 0.000000000000000000e+00 1.575102393503335563e+01 0.000000000000000000e+00
2.100000000000000000e+01 4.199999999999999845e-01 4.400000000000000022e-01 4.299999999999999933e-01 4.647881611230982729e-02 0.000000000000000000e+00 1.732487723861330409e+01 0.000000000000000000e+00
2.200000000000000000e+01 4.400000000000000022e-01 4.600000000000000200e-01 4.500000000000000111e-01 5.090217856856425749e-02 0.000000000000000000e+00 1.897367593760167992e+01 0.000000000000000000e+00
2.300000000000000000e+01 4.600000000000000200e-01 4.799999999999999822e-01 4.699999999999999734e-01 5.552660295464829227e-02 0.000000000000000000e+00 2.069742003199867852e+01 0.000000000000000000e+00
2.400000000000000000e+01 4.799999999999999822e-01 5.000000000000000000e-01 4.899999999999999911e-01 6.035208927056238959e-02 0.000000000000000000e+00 2.249610952180428569e+01 0.000000000000000000e+00
2.500000000000000000e+01 5.000000000000000000e-01 5.200000000000000178e-01 5.100000000000000089e-01 6.537863751630602904e-02 0.000000000000000000e+00 2.436974440701845523e+01 0.000000000000000000e+00
2.600000000000000000e+01 5.200000000000000178e-01 5.400000000000000355e-01 5.300000000000000266e-01 7.060624769187943961e-02 0.000000000000000000e+00 2.631832468764114097e+01 0.000000000000000000e+00
2.700000000000000000e+01 5.400000000000000355e-01 5.600000000000000533e-01 5.500000000000000444e-01 7.603491979728267680e-02 0.000000000000000000e+00 2.834185036367235355e+01 0.000000000000000000e+00
2.800000000000000000e+01 5.600000000000000533e-01 5.799999999999999600e-01 5.700000000000000622e-01 8.166465383251506061e-02 0.000000000000000000e+00 3.044032143511197930e+01 0.000000000000000000e+00
2.900000000000000000e+01 5.799999999999999600e-01 5.999999999999999778e-01 5.899999999999999689e-01 8.749544979757820085e-02 0.000000000000000000e+00 3.261373790196048361e+01 0.000000000000000000e+00
3.000000000000000000e+01 5.999999999999999778e-01 6.199999999999999956e-01 6.099999999999999867e-01 9.352730769247058484e-02 0.000000000000000000e+00 3.486209976421762491e+01 0.000000000000000000e+00
3.100000000000000000e+01 6.199999999999999956e-01 6.400000000000000133e-01 6.300000000000000044e-01 9.976022751719292037e-02 0.000000000000000000e+00 3.718540702188304437e+01 0.000000000000000000e+00
3.200000000000000000e+01 6.400000000000000133e-01 6.600000000000000311e-01 6.500000000000000222e-01 1.061942092717445135e-01 0.000000000000000000e+00 3.958365967495714699e+01 0.000000000000000000e+00
3.300000000000000000e+01 6.600000000000000311e-01 6.800000000000000488e-01 6.700000000000000400e-01 1.128292529561262802e-01 0.000000000000000000e+00 4.205685772343964146e+01 0.000000000000000000e+00
3.400000000000000000e+01 6.800000000000000488e-01 7.000000000000000666e-01 6.900000000000000577e-01 1.196653585703377626e-01 0.000000000000000000e+00 4.460500116733106069e+01 0.000000000000000000e+00
3.500000000000000000e+01 7.000000000000000666e-01 7.199999999999999734e-01 7.099999999999999645e-01 1.267025261143782666e-01 0.000000000000000000e+00 4.722809000663043122e+01 0.000000000000000000e+00
3.600000000000000000e+01 7.199999999999999734e-01 7.399999999999999911e-01 7.299999999999999822e-01 1.339407555882496381e-01 0.000000000000000000e+00 4.992612424133896809e+01 0.000000000000000000e+00
3.700000000000000000e+01 7.399999999999999911e-01 7.600000000000000089e-01 7.500000000000000000e-01 1.413800469919505032e-01 0.000000000000000000e+00 5.269910387145604602e+01 0.000000000000000000e+00
3.800000000000000000e+01 7.600000000000000089e-01 7.800000000000000266e-01 7.700000000000000178e-01 1.490204003254806120e-01 0.000000000000000000e+00 5.554702889698126000e+01 0.000000000000000000e+00
3.900000000000000000e+01 7.800000000000000266e-01 8.000000000000000444e-01 7.900000000000000355e-01 1.568618155888411303e-01 0.000000000000000000e+00 5.846989931791601691e+01 0.000000000000000000e+00
4.000000000000000000e+01 8.000000000000000444e-01 8.200000000000000622e-01 8.100000000000000533e-01 1.649042927820304483e-01 0.000000000000000000e+00 6.146771513425790090e+01 0.000000000000000000e+00
4.100000000000000000e+01 8.200000000000000622e-01 8.399999999999999689e-01 8.300000000000000711e-01 1.731478319050494818e-01 0.000000000000000000e+00 6.454047634600917149e+01 0.000000000000000000e+00
4.200000000000000000e+01 8.399999999999999689e-01 8.599999999999999867e-01 8.499999999999999778e-01 1.815924329578998409e-01 0.000000000000000000e+00 6.768818295316906131e+01 0.000000000000000000e+00
