bin_index  r_left_A  r_right_A  r_center_A  shell_volume_A3  counts  normalization  g_r
5.200000000000000000e+01 1.040000000000000036e+00 1.060000000000000053e+00 1.050000000000000044e+00 2.770968496270292403e-01 0.000000000000000000e+00 3.988341626614995334e+02 0.000000000000000000e+00
5.300000000000000000e+01 1.060000000000000053e+00 1.080000000000000071e+00 1.070000000000000062e+00 2.877531319080062766e-01 0.000000000000000000e+00 4.141720830540938891e+02 0.000000000000000000e+00
5.400000000000000000e+01 1.080000000000000071e+00 1.100000000000000089e+00 1.090000000000000080e+00 2.986104761188131951e-01 0.000000000000000000e+00 4.297993981710819753e+02 0.000000000000000000e+00
5.500000000000000000e+01 1.100000000000000089e+00 1.120000000000000107e+00 1.110000000000000098e+00 3.096688822594482748e-01 0.000000000000000000e+00 4.457161080124503769e+02 0.000000000000000000e+00
5.600000000000000000e+01 1.120000000000000107e+00 1.140000000000000124e+00 1.130000000000000115e+00 3.209283503299141804e-01 0.000000000000000000e+00 4.619222125782076773e+02 0.000000000000000000e+00
5.700000000000000000e+01 1.140000000000000124e+00 1.159999999999999920e+00 1.149999999999999911e+00 3.323888803302063044e-01 0.000000000000000000e+00 4.784177118683498406e+02 0.000000000000000000e+00
5.800000000000000000e+01 1.159999999999999920e+00 1.179999999999999938e+00 1.169999999999999929e+00 3.440504722603358601e-01 0.000000000000000000e+00 4.952026058828996611e+02 0.000000000000000000e+00
5.900000000000000000e+01 1.179999999999999938e+00 1.199999999999999956e+00 1.189999999999999947e+00 3.559131261202897467e-01 0.000000000000000000e+00 5.122768946218196788e+02 0.000000000000000000e+00
6.000000000000000000e+01 1.199999999999999956e+00 1.219999999999999973e+00 1.209999999999999964e+00 3.679768419100754584e-01 0.000000000000000000e+00 5.296405780851350755e+02 0.000000000000000000e+00
6.100000000000000000e+01 1.219999999999999973e+00 1.239999999999999991e+00 1.229999999999999982e+00 3.802416196296892759e-01 0.000000000000000000e+00 5.472936562728299350e+02 0.000000000000000000e+00
6.200000000000000000e+01 1.239999999999999991e+00 1.260000000000000009e+00 1.250000000000000000e+00 3.927074592791348628e-01 0.000000000000000000e+00 5.652361291849258578e+02 0.000000000000000000e+00
6.300000000000000000e+01 1.260000000000000009e+00 1.280000000000000027e+00 1.270000000000000018e+00 4.053743608584066682e-01 0.000000000000000000e+00 5.834679968214004475e+02 0.000000000000000000e+00
6.400000000000000000e+01 1.280000000000000027e+00 1.300000000000000044e+00 1.290000000000000036e+00 4.182423243675121860e-01 0.000000000000000000e+00 6.019892591822737131e+02 0.000000000000000000e+00
6.500000000000000000e+01 1.300000000000000044e+00 1.320000000000000062e+00 1.310000000000000053e+00 4.313113498064457541e-01 0.000000000000000000e+00 6.207999162675254183e+02 0.000000000000000000e+00
6.600000000000000000e+01 1.320000000000000062e+00 1.340000000000000080e+00 1.330000000000000071e+00 4.445814371752093153e-01 0.000000000000000000e+00 6.398999680771735257e+02 0.000000000000000000e+00
6.700000000000000000e+01 1.340000000000000080e+00 1.360000000000000098e+00 1.350000000000000089e+00 4.580525864738009267e-01 0.000000000000000000e+00 6.592894146112093949e+02 0.000000000000000000e+00
6.800000000000000000e+01 1.360000000000000098e+00 1.380000000000000115e+00 1.370000000000000107e+00 4.717247977022261951e-01 0.000000000000000000e+00 6.789682558696317756e+02 0.000000000000000000e+00
6.900000000000000000e+01 1.380000000000000115e+00 1.400000000000000133e+00 1.390000000000000124e+00 4.855980708604759055e-01 0.000000000000000000e+00 6.989364918524356654e+02 0.000000000000000000e+00
7.000000000000000000e+01 1.400000000000000133e+00 1.419999999999999929e+00 1.410000000000000142e+00 4.996724059485536107e-01 0.000000000000000000e+00 7.191941225596315235e+02 0.000000000000000000e+00
7.100000000000000000e+01 1.419999999999999929e+00 1.439999999999999947e+00 1.429999999999999938e+00 5.139478029664724668e-01 0.000000000000000000e+00 7.397411479912283312e+02 0.000000000000000000e+00
7.200000000000000000e+01 1.439999999999999947e+00 1.459999999999999964e+00 1.449999999999999956e+00 5.284242619142119901e-01 0.000000000000000000e+00 7.605775681472064207e+02 0.000000000000000000e+00
7.300000000000000000e+01 1.459999999999999964e+00 1.479999999999999982e+00 1.469999999999999973e+00 5.431017827917851148e-01 0.000000000000000000e+00 7.817033830275613582e+02 0.000000000000000000e+00
7.400000000000000000e+01 1.479999999999999982e+00 1.500000000000000000e+00 1.489999999999999991e+00 5.579803655991864009e-01 0.000000000000000000e+00 8.031185926323286139e+02 0.000000000000000000e+00
7.500000000000000000e+01 1.500000000000000000e+00 1.520000000000000018e+00 1.510000000000000009e+00 5.730600103364176245e-01 0.000000000000000000e+00 8.248231969614598711e+02 0.000000000000000000e+00
7.600000000000000000e+01 1.520000000000000018e+00 1.540000000000000036e+00 1.530000000000000027e+00 5.883407170034768985e-01 0.000000000000000000e+00 8.468171960149882125e+02 0.000000000000000000e+00
7.700000000000000000e+01 1.540000000000000036e+00 1.560000000000000053e+00 1.550000000000000044e+00 6.038224856003679974e-01 0.000000000000000000e+00 8.691005897929112507e+02 0.000000000000000000e+00
7.800000000000000000e+01 1.560000000000000053e+00 1.580000000000000071e+00 1.570000000000000062e+00 6.195053161270890341e-01 0.000000000000000000e+00 8.916733782952197771e+02 0.000000000000000000e+00
7.900000000000000000e+01 1.580000000000000071e+00 1.600000000000000089e+00 1.590000000000000080e+00 6.353892085836400083e-01 0.000000000000000000e+00 9.145355615219183392e+02 0.000000000000000000e+00
8.000000000000000000e+01 1.600000000000000089e+00 1.620000000000000107e+00 1.610000000000000098e+00 6.514741629700153691e-01 0.000000000000000000e+00 9.376871394730010252e+02 0.000000000000000000e+00
8.100000000000000000e+01 1.620000000000000107e+00 1.640000000000000124e+00 1.630000000000000115e+00 6.677601792862282171e-01 0.000000000000000000e+00 9.611281121484744290e+02 0.000000000000000000e+00
8.200000000000000000e+01 1.640000000000000124e+00 1.660000000000000142e+00 1.650000000000000133e+00 6.842472575322690043e-01 0.000000000000000000e+00 9.848584795483361631e+02 0.000000000000000000e+00
8.300000000000000000e+01 1.660000000000000142e+00 1.679999999999999938e+00 1.669999999999999929e+00 7.009353977081267395e-01 0.000000000000000000e+00 1.008878241672572130e+03 0.000000000000000000e+00
8.400000000000000000e+01 1.679999999999999938e+00 1.699999999999999956e+00 1.689999999999999947e+00 7.178245998138349515e-01 0.000000000000000000e+00 1.033187398521234400e+03 0.000000000000000000e+00
8.500000000000000000e+01 1.699999999999999956e+00 1.719999999999999973e+00 1.709999999999999964e+00 7.349148638493637753e-01 0.000000000000000000e+00 1.057785950094260670e+03 0.000000000000000000e+00
8.600000000000000000e+01 1.719999999999999973e+00 1.739999999999999991e+00 1.729999999999999982e+00 7.522061898147206493e-01 0.000000000000000000e+00 1.082673896391670723e+03 0.000000000000000000e+00
8.700000000000000000e+01 1.739999999999999991e+00 1.760000000000000009e+00 1.750000000000000000e+00 7.696985777099094594e-01 0.000000000000000000e+00 1.107851237413483659e+03 0.000000000000000000e+00
8.800000000000000000e+01 1.760000000000000009e+00 1.780000000000000027e+00 1.770000000000000018e+00 7.873920275349299835e-01 0.000000000000000000e+00 1.133317973159676740e+03 0.000000000000000000e+00
8.900000000000000000e+01 1.780000000000000027e+00 1.800000000000000044e+00 1.790000000000000036e+00 8.052865392897747832e-01 0.000000000000000000e+00 1.159074103630263608e+03 0.000000000000000000e+00
9.000000000000000000e+01 1.800000000000000044e+00 1.820000000000000062e+00 1.810000000000000053e+00 8.233821129744515188e-01 0.000000000000000000e+00 1.185119628825225846e+03 0.000000000000000000e+00
9.100000000000000000e+01 1.820000000000000062e+00 1.840000000000000080e+00 1.830000000000000071e+00 8.416787485889563047e-01 0.000000000000000000e+00 1.211454548744596650e+03 0.000000000000000000e+00
9.200000000000000000e+01 1.840000000000000080e+00 1.860000000000000098e+00 1.850000000000000089e+00 8.601764461332966905e-01 0.000000000000000000e+00 1.238078863388311220e+03 0.000000000000000000e+00
9.300000000000000000e+01 1.860000000000000098e+00 1.880000000000000115e+00 1.870000000000000107e+00 8.788752056074613517e-01 0.000000000000000000e+00 1.264992572756469144e+03 0.000000000000000000e+00
9.400000000000000000e+01 1.880000000000000115e+00 1.900000000000000133e+00 1.890000000000000124e+00 8.977750270114615017e-01 0.000000000000000000e+00 1.292195676849001302e+03 0.000000000000000000e+00
9.500000000000000000e+01 1.900000000000000133e+00 1.919999999999999929e+00 1.910000000000000142e+00 9.168759103452712722e-01 0.000000000000000000e+00 1.319688175665886092e+03 0.000000000000000000e+00
9.600000000000000000e+01 1.919999999999999929e+00 1.939999999999999947e+00 1.929999999999999938e+00 9.361778556089425107e-01 0.000000000000000000e+00 1.347470069207218557e+03 0.000000000000000000e+00
9.700000000000000000e+01 1.939999999999999947e+00 1.959999999999999964e+00 1.949999999999999956e+00 9.556808628024232588e-01 0.000000000000000000e+00 1.375541357472886148e+03 0.000000000000000000e+00
9.800000000000000000e+01 1.959999999999999964e+00 1.979999999999999982e+00 1.969999999999999973e+00 9.753849319257394956e-01 0.000000000000000000e+00 1.403902040462979585e+03 0.000000000000000000e+00
